Date,Price,Vol.
2000-10-16,465.00,34380
2000-10-17,468.25,35140
2000-10-18,467.75,25340
2000-10-19,471.50,34520
2000-10-20,468.75,34680
2000-10-23,463.00,31060
2000-10-24,467.75,37380
2000-10-25,467.00,30380
2000-10-26,461.25,30380
2000-10-27,456.50,28380
2000-10-30,456.00,48970
2000-10-31,459.75,17780
2000-11-01,462.75,13810
2000-11-02,473.25,11040
2000-11-03,473.25,6990
2000-11-06,474.25,8870
2000-11-07,475.00,7500
2000-11-08,474.00,6440
2000-11-09,467.25,4690
2000-11-10,463.25,4130
2000-11-13,468.75,2840
2000-11-14,472.00,1710
2000-11-15,481.50,26270
2000-11-16,477.50,18490
2000-11-17,487.75,38860
2000-11-20,490.75,33190
2000-11-21,489.00,21200
2000-11-22,491.00,12800
2000-11-24,500.75,24430
2000-11-27,497.25,42370
2000-11-28,500.75,28780
2000-11-29,499.75,34540
2000-11-30,506.00,41780
2000-12-01,508.00,26880
2000-12-04,504.50,25080
2000-12-05,500.75,27390
2000-12-06,507.00,25020
2000-12-07,503.00,39660
2000-12-08,511.50,33040
2000-12-11,511.00,26400
2000-12-12,507.25,26760
2000-12-13,506.50,25280
2000-12-14,504.25,24430
2000-12-15,507.25,19260
2000-12-18,509.75,27010
2000-12-19,511.75,13550
2000-12-20,508.00,17210
2000-12-21,510.00,19110
2000-12-22,510.25,12430
2000-12-26,505.25,17220
2000-12-27,498.50,25560
2000-12-28,497.50,26500
2000-12-29,499.50,7250
2001-01-02,495.00,6800
2001-01-03,497.25,8280
2001-01-04,492.25,5570
2001-01-05,489.50,4260
2001-01-08,491.00,1970
2001-01-09,495.25,3310
2001-01-10,490.50,1870
2001-01-11,479.75,1570
2001-01-12,479.25,470
2001-01-16,477.50,30480
2001-01-17,472.75,30130
2001-01-18,473.50,24190
2001-01-19,470.75,28360
2001-01-22,476.75,24750
2001-01-23,468.25,32440
2001-01-24,469.75,20110
2001-01-25,466.00,25570
2001-01-26,460.25,42000
2001-01-29,459.75,25020
2001-01-30,461.00,21390
2001-01-31,459.50,24480
2001-02-01,462.50,22500
2001-02-02,468.50,24020
2001-02-05,462.25,1840
2001-02-06,464.25,21030
2001-02-07,463.50,22150
2001-02-08,452.25,33400
2001-02-09,456.25,27650
2001-02-12,453.25,28580
2001-02-13,450.00,28930
2001-02-14,452.00,18930
2001-02-15,450.25,22010
2001-02-16,454.00,20550
2001-02-20,454.00,24540
2001-02-21,457.50,14380
2001-02-22,455.00,22370
2001-02-23,448.00,19060
2001-02-26,449.25,17430
2001-02-27,451.25,25110
2001-02-28,453.50,11360
2001-03-01,457.00,4070
2001-03-02,455.75,2400
2001-03-05,456.50,1840
2001-03-06,461.75,1740
2001-03-07,457.50,1900
2001-03-08,455.50,1310
2001-03-09,456.75,1410
2001-03-12,459.00,1630
2001-03-13,452.25,2080
2001-03-14,442.00,710
2001-03-15,445.50,31780
2001-03-16,443.00,16550
2001-03-19,443.50,18090
2001-03-20,446.75,19900
2001-03-21,443.25,25080
2001-03-22,434.25,30280
2001-03-23,436.50,20360
2001-03-26,442.00,17290
2001-03-27,445.25,20980
2001-03-28,441.75,15440
2001-03-29,436.50,15530
2001-03-30,428.50,32810
2001-04-02,432.75,15110
2001-04-03,430.25,18960
2001-04-04,437.25,16210
2001-04-05,437.50,12080
2001-04-06,436.00,8740
2001-04-09,441.25,16530
2001-04-10,432.75,14380
2001-04-11,437.25,8640
2001-04-12,435.25,12410
2001-04-16,432.75,7990
2001-04-17,429.50,11610
2001-04-18,434.00,20540
2001-04-19,429.25,16520
2001-04-20,429.25,12600
2001-04-23,423.25,15680
2001-04-24,426.00,15390
2001-04-25,422.00,18100
2001-04-26,428.75,25350
2001-04-27,422.75,21740
